id,peso,velocidad,tamano
1,10517,34546.72,706215.11
2,57648.57,25096.59,964844.68
3,30719.2,28301.45,276738.73
4,53208.11,28419.97,10740.43
5,84031.22,30669.8,283683.23
6,53949.45,33290.55,159248.81
7,97790.31,28428.79,499166.99
8,60778.28,34440.37,244238.22
9,73624.3,27309.46,114139.44
10,73880.74,26050.61,639306
11,74682.44,32430.37,572912.45
12,71229.02,27205.99,321615.37
13,36648,28651.76,77997.26
14,72093.39,31898.58,685223.35
15,2859.65,28516.27,771498.8
16,94702.38,27370.39,457488.19
17,49412.6,27140.64,68602.05
18,2587.43,33767.01,957918.46
19,40759.94,28284.07,687176.1
20,71228.23,27250.08,242560.04
21,79451.12,28393.41,536830.36
22,96476.02,32036.27,952367.67
23,89368.43,31403.44,719047.07
24,92044.07,32220.61,230121.11
25,58319.75,33413.73,69430.32
26,20803.33,31050.24,662839.94
27,50656.24,28533.37,671052.08
28,38809.6,30604.47,457388.52
29,79588.82,31961.31,530697.63
30,57961.64,30832.54,451966.27
31,12388.99,29662.4,750569.95
32,53584.98,25468.29,101818.8
33,29104.16,29844.08,87344.83
34,98897.86,32931.38,228608.06
35,76927.04,34735.24,888575.47
36,45597.64,30303.71,431392.79
37,52522.5,28276.54,647573.09
38,99177.13,32493.5,532861.97
39,36022,30011.24,854550.89
40,78531.02,29856.51,521696.52
41,249.59,28306.07,264852.82
42,45991.5,26429.85,478940.32
43,91661.82,26012.03,675064.77
44,65606.86,31533.62,81426.47
45,57714.22,34462.96,380006.12
46,87313.13,33794.46,726758.83
47,99.94,33295.43,929983.45
48,63740.58,26557.53,167907.84
49,32495.22,26155.05,679334.08
50,82599.98,30890.74,174048.76
51,92828.53,28183.37,489343.9
52,50086.68,33378.68,910930.89
53,2608.16,26869.23,129411.75
54,90058.37,30415.15,246344.65
55,84603.52,29096.63,322850.38
56,77661.58,30916.68,732787.76
57,83085.52,32720.1,581703.18
58,14236.55,33572.5,483880.99
59,48804.86,29072.03,249793.6
60,35871.35,32170.98,106638.59
61,19592.41,27396.69,31565.84
62,41805.13,31544.57,701248.75
63,90550.89,31642.76,244457.34
64,20597.46,27721.71,75047.47
65,75637.8,26784.63,511028.63
66,89769.54,30037.09,580759.21
67,21269.61,30132.22,361212.65
68,36359.4,34774.86,921900
69,23764.94,32495.12,395663.89
70,26008.66,26032.73,433387.83
71,4275.9,26256.06,245270.19
72,4375.23,30780.23,254196.31
73,9967.23,26335.54,417835.32
74,21341.5,28507.54,712211.99
75,94723.93,29847.28,80293.89
76,81287.42,31015.34,357713.99
77,4959.83,32137.07,912547.67
78,64507.14,33588.12,893892.76
79,54286.76,33155.03,514034.3
80,1698.53,33129.58,339346.87
81,14465.14,29184.19,844484.09
82,89908.89,26071.23,467372.53
83,99.52,34772.71,50360.96
84,46732.11,26350.26,961562.04
85,51326.67,26827.4,566968.75
86,16434.57,32172.94,657287.67
87,93737.45,29536.05,133050.61
88,24935.07,25951.11,404453
89,20818.06,29835.95,54289.06
90,58008.02,27415.77,845466.59
91,27355.5,34356.17,653810.08
92,8953.1,30154.96,808469.38
93,72934.52,32521.79,239967.07
94,15126.08,26152.22,114316.89
95,57026.49,30216.09,627061.62
96,57661.76,34502.45,865876.21
97,9815.28,27507.93,962521.68
98,37802.14,30205.61,432549.11
99,7801.76,28106.39,178435.19
100,90741.25,25542.59,579713.09
101,12046.23,27369.95,706123.23
102,78831.17,32730.41,99642.69
103,96116.21,32987.48,77745.5
104,34951.31,33806.95,79318.89
105,2800.27,26667.93,83985.04
106,25937.05,25191.32,420080.01
107,39403.65,34512.07,619601.42
108,28735.51,31651.33,835386.02
109,33559.22,32506.23,386101.65
110,2747.69,34106.89,165359.52
111,55462.84,33343.49,394628
112,3860.52,32609.94,238765.52
113,38136.17,32603.17,704839.05
114,3252.42,33583.14,32607.11
115,77737.63,29313.3,841276.27
116,17753.46,25223.28,152408.77
117,54421.71,28495.81,649159.05
118,99203.54,33079.16,379518.95
119,28035.26,33765.49,558568.66
120,19466.24,31027.29,911587.2
121,4209.64,33388.48,11555.11
122,19586.64,26800.33,571014.64
123,25234.38,34088.83,298930.2
124,56817.45,31986.93,904236.93
125,65821.48,31003.38,72574.68
126,96302.92,30476.65,591358.94
127,47684.9,28464.01,725186.94
128,9550.84,31593.79,990092.48
129,93513.13,28381.3,678249.53
130,3655.89,30977.52,511565.26
131,88267.04,25892.96,556573.73
132,28414.82,25425.11,613487.39
133,1068.98,29073.01,185777.27
134,25953.66,27220.54,226180.04
135,13554.08,29040.38,680097.14
136,54192.63,32658.25,635952.75
137,51021.81,29307.13,330581.92
138,8361.84,25553.74,341016.26
139,45240.81,33167.9,201602.93
140,86821.72,25503.34,573316.53
141,95934.75,32923.67,20840
142,12636.16,30205.5,706395.2
143,62069.43,32054.65,99978.04
144,63163.39,26745.21,485539.83
145,31565.26,25526.82,984768.63
146,24368.37,28557.63,658256.08
147,81351.71,34280.8,638486.51
148,72759.67,31093.98,90428.78
149,94489.7,27865.59,161458.61
150,76928,31091.57,612743.63
151,21198.91,29780.69,898491.21
152,38989.29,27638.34,66657.02
153,34194.87,29025.78,332801.67
154,65604.14,28378.68,308601.28
155,63327.34,33116.67,86251.24
156,8437.98,32344.78,534945.31
157,28887.04,29079.94,466773.72
158,56498.32,32889.87,929984.7
159,77241.66,26857.26,699729.05
160,4978.53,32029.62,733520.44
161,8672.85,26310.01,987220.43
162,8616,26907.76,679696.07
163,29091.28,33640.82,692773.41
164,62687.93,33135.84,461441.33
165,62777.85,27803.7,152221.22
166,58023.98,33297.1,988975.66
167,59047.96,34974.06,306386.18
168,79737.04,30866.4,994220.86
169,36391.33,25361.15,233005.5
170,54494.64,34936.52,560616.54
171,12411.23,31130.85,877253.27
172,89969.38,33541.63,170918.02
173,45247.84,26998.62,436287.23
174,38555.7,34145.93,337707.55
175,81472.65,34236.44,248309.9
176,56761.91,34447.34,461302.22
177,29781.67,27645.32,110860.4
178,18585.29,33284.46,980145.98
179,84830.08,34355.63,920988.83
180,76701.99,34685.25,13673.73
181,64175.64,25291.02,699327.64
182,84875.3,28812.11,653353.99
183,79542.06,33864.88,287804.7
184,10208.69,29331.11,114858.72
185,41917,27625.67,915344.02
186,38620.49,25192.03,390500.24
187,79803.59,25469.22,985683.04
188,25942.17,26622.38,172404.73
