id_nave_clase;id_nave_matricula;id_orbita_exc;id_sentido;id_altura
654;524141;0.43;Horario;25156.9
987;627932;0.35;Anti-Horario;12875.89
798;355188;0.64;Horario;32646.29
147;632349;0.45;Anti-Horario;17309.6
258;584581;0.02;Horario;7279.97
369;443447;0.47;Horario;33367.35
741;526524;0.57;Horario;9643.61
852;411580;0.02;Anti-Horario;17454.72
963;807305;0.05;Anti-Horario;29207.98
753;699496;0.12;Anti-Horario;28663.92
951;885465;0.51;Anti-Horario;11866.38
456;956125;0.1;Horario;26059.25
123;513947;0.15;Horario;20337.13
654;973065;0.68;Horario;2431.81
987;346507;0.59;Anti-Horario;7205.76
798;975516;0.74;Horario;10601.17
147;534664;0.9;Horario;8019.01
258;413872;0.72;Horario;32044.91
369;903050;0.8;Anti-Horario;28765.03
741;730727;0.92;Anti-Horario;27722.09
852;691852;0.18;Horario;32813.06
963;586583;0.95;Horario;17239.17
753;327338;0.06;Anti-Horario;19596.36
951;467129;0.4;Horario;26206.9
456;570508;0.33;Horario;31457.1
123;747079;0.99;Anti-Horario;6104.41
654;947781;0.73;Anti-Horario;8767.24
987;711116;0.29;Anti-Horario;27519.61
798;775245;0.12;Anti-Horario;3354.53
147;803713;0.51;Anti-Horario;1334.28
258;943874;0.68;Horario;34922.45
369;685371;0.52;Anti-Horario;27523.28
741;646088;0.29;Horario;34459.99
852;443182;0.45;Horario;5422.13
963;813227;0.43;Anti-Horario;15901.13
753;841581;0.98;Horario;18336.15
951;711553;0.2;Anti-Horario;30365.8
456;382237;0.09;Horario;16140.77
123;744330;0.74;Horario;34990.25
654;423735;0.68;Anti-Horario;1919.52
987;781570;0.92;Anti-Horario;3414.58
798;660139;0.08;Anti-Horario;14362.13
147;572763;0.95;Horario;28929.6
258;873074;0.86;Anti-Horario;22770.66
369;495608;0.98;Anti-Horario;12639.22
741;466798;0;Anti-Horario;12536.21
852;597735;0.21;Anti-Horario;8034.41
963;655316;0.86;Anti-Horario;22027.63
753;402173;0.17;Anti-Horario;19713.75
951;730349;0.28;Horario;23841.54
654;371478;0.25;Horario;34048.41
987;525095;0.93;Horario;273.54
798;361053;0.39;Horario;19136.64
147;389453;0.75;Horario;18753.71
258;909559;0.24;Horario;18629.6
369;399655;0.21;Anti-Horario;7848.86
741;814432;0.56;Anti-Horario;7616
852;506549;0.81;Anti-Horario;14147.48
963;912692;0.45;Anti-Horario;8528.77
753;872685;0.03;Anti-Horario;17738.71
951;945521;0.35;Horario;9528.27
456;730570;0.15;Anti-Horario;30200.03
123;735902;0.25;Anti-Horario;33026.43
654;860124;0.87;Anti-Horario;2387.62
987;829556;0.73;Horario;32951.62
798;596969;0.99;Anti-Horario;34469.48
147;955658;1;Anti-Horario;30165.25
258;367597;0.36;Anti-Horario;22087.32
369;871481;0.83;Anti-Horario;1780.86
741;634841;0.06;Anti-Horario;21387.54
852;843755;0.91;Horario;15840.12
963;888210;0.84;Horario;212.47
753;480076;0.36;Horario;22333.49
951;919380;0.37;Anti-Horario;15237.66
456;866518;0.51;Anti-Horario;5342.9
123;451735;0.28;Horario;18390.35
654;810343;0.36;Horario;28960.76
987;474316;0.08;Horario;25709.46
798;984332;0.75;Horario;18435.56
147;609394;0.99;Horario;26436.75
258;421851;0.23;Anti-Horario;18325.96
369;666228;0.81;Anti-Horario;7807.09
741;619766;0.39;Anti-Horario;29784.7
852;959788;0.81;Anti-Horario;21214.96
963;869771;0.56;Horario;6332.71
753;782355;0.01;Horario;33151.24
951;633785;0.6;Horario;1637.55
456;554155;0.88;Horario;19933.81
123;958150;0.01;Anti-Horario;6327.32
654;471140;0.32;Horario;29048.37
987;475171;0.25;Horario;3852.69
798;654674;0.59;Anti-Horario;17556.12
147;707457;0.47;Anti-Horario;3415.66
258;383920;0.34;Anti-Horario;15674.09
369;634955;0.03;Anti-Horario;4560.51
741;897503;0.67;Anti-Horario;19206.47
852;528714;0.53;Anti-Horario;12409.82
963;643195;0.96;Anti-Horario;6313.28
753;905330;0.82;Anti-Horario;5008.91
951;415075;0.86;Anti-Horario;7297.49
654;552363;0.47;Horario;18273.16
654;447869;0.24;Horario;29427.61
987;665627;0.15;Horario;15991.49
798;692695;0.77;Horario;32498.74
147;372756;0.43;Horario;20438.69
258;805246;0.51;Horario;4857.02
369;823343;0.2;Horario;28167.28
741;656902;0.46;Anti-Horario;12459.95
852;655030;0.45;Anti-Horario;15841.88
963;782505;0.64;Anti-Horario;1873.86
753;392849;0.72;Horario;31043.25
951;597951;0.85;Anti-Horario;15556.01
456;787854;0.46;Horario;2534.57
123;485206;0.28;Anti-Horario;839.54
654;902198;0.78;Horario;34914.55
987;502165;0.32;Horario;29822.62
798;611679;0.03;Anti-Horario;30775.12
147;695833;0.09;Horario;6067.31
258;984198;0.54;Horario;33217.12
369;883390;0.79;Anti-Horario;29062.38
741;805169;0.33;Horario;1867.7
852;430939;0.91;Horario;34775.64
963;946995;0.91;Horario;17664.28
753;434302;0.79;Horario;15929.49
951;335688;0.63;Anti-Horario;21781.91
456;663840;0.41;Anti-Horario;3859.51
123;502946;0.87;Anti-Horario;27872.59
654;745355;0.17;Horario;26703.83
987;886545;0.89;Anti-Horario;13097.18
798;747946;0.42;Horario;12550.82
147;598787;0.93;Horario;14594.22
258;406259;0.95;Anti-Horario;12296.5
369;977787;0.05;Horario;26249.38
741;888082;0.39;Anti-Horario;26764.45
852;681167;0.91;Anti-Horario;17216.59
963;344628;0.92;Anti-Horario;30200.2
753;433904;0.77;Anti-Horario;4253.9
951;436571;0.21;Anti-Horario;11711.24
456;660361;0.84;Horario;34840.84
123;421634;0;Horario;17528.05
654;831072;0.9;Horario;28909.29
987;433920;0.78;Horario;8616.19
798;502159;0.27;Horario;1888.3
147;818940;0.29;Horario;2940.03
258;375552;0.01;Anti-Horario;33690.01
369;491996;0.12;Horario;28959.35
741;916196;0.17;Anti-Horario;30058.28
852;936320;0.68;Anti-Horario;25425.52
963;795041;0.06;Anti-Horario;15789.04
753;756597;0.5;Horario;30019.48
951;702505;0.12;Anti-Horario;31757.82
654;829487;0.64;Horario;27806.18
987;627191;0.23;Anti-Horario;23604.68
798;343186;0.96;Horario;18760.89
147;399709;0.91;Anti-Horario;31813.72
258;683626;0.6;Horario;4092.18
369;586442;0.02;Anti-Horario;31814.94
741;535947;0.54;Anti-Horario;3749.42
852;376916;0.69;Horario;14735.46
963;508480;0.5;Anti-Horario;12209.75
753;838210;0.74;Horario;15340.47
951;929249;0.88;Horario;27291.36
456;757907;0.32;Anti-Horario;19040.38
123;606211;0.8;Horario;33762.48
654;679319;0.73;Anti-Horario;31879.85
987;701382;0.33;Anti-Horario;11749.28
798;395559;0.38;Anti-Horario;34606.56
147;665493;0.93;Anti-Horario;6111.36
258;488055;0.67;Horario;16931.08
369;411334;0.41;Horario;1813.28
741;576589;0.16;Horario;7069.91
852;825592;0.06;Anti-Horario;20716.68
963;862025;0.28;Anti-Horario;23197.04
753;380786;0.33;Anti-Horario;29105.15
951;697911;0.56;Horario;26491.62
456;700417;0.75;Horario;27707.77
123;778240;0.62;Anti-Horario;12383.78
654;811492;0.02;Horario;12983.14
987;756499;0.79;Horario;20423.89
798;452476;0.96;Anti-Horario;27588.79
147;504523;0.87;Anti-Horario;12004.29
258;476967;0.94;Anti-Horario;2115.84
369;593412;0.41;Anti-Horario;5360.67
741;884211;0.38;Horario;20731.16
852;550681;0.83;Anti-Horario;16952.41
963;344846;0.59;Anti-Horario;168.25
753;722021;0.08;Anti-Horario;1902.35
951;523152;0.94;Horario;19810.89
456;591822;0.38;Anti-Horario;6747.39
123;345052;0.84;Anti-Horario;21939.87
654;424949;0.57;Anti-Horario;1828.25
987;480015;0.48;Horario;9354.27
798;721712;0.96;Horario;29458.47
147;918887;0.16;Horario;28653.27
258;761059;0.06;Anti-Horario;19967.54
369;623945;0.26;Horario;17016.06
741;383695;0.23;Horario;2334.4
852;894103;0.8;Horario;10430.29
963;795380;0.85;Horario;10165.72
753;634314;0.49;Horario;27396
951;617322;0.45;Anti-Horario;13404.83
951;610747;0.6;Horario;20260.92
654;456957;0.65;Horario;17892.08
987;614284;0.78;Anti-Horario;31841.12
798;878056;0.89;Horario;30040.55
147;917678;0.64;Horario;12794.27
258;492902;0.87;Anti-Horario;17497.77
369;780029;0.57;Horario;25963.22
741;619175;0.78;Horario;11558.58
852;323771;0.4;Horario;13445.02
963;760717;0.92;Anti-Horario;30592.64
753;794228;0.69;Horario;32899.57
951;498238;0.17;Horario;32348.63
456;591773;0.16;Horario;18903.92
123;619846;0.73;Anti-Horario;29173.44
654;792005;0.63;Horario;12267.14
987;467294;0.86;Horario;25669.79
798;821348;0.56;Horario;27189.49
147;537805;0.2;Anti-Horario;1850
258;671327;0.49;Anti-Horario;21530.62
369;701247;0.02;Horario;7041.37
741;840944;0.81;Horario;18135.77
852;656373;0.8;Anti-Horario;30130.25
963;769865;0.74;Anti-Horario;33035.39
753;915162;0.97;Anti-Horario;23797.87
951;955902;0.17;Anti-Horario;570.24
456;368569;0.25;Anti-Horario;2673.13
123;389240;0.26;Anti-Horario;16222.54
654;688606;0.5;Horario;1949.6
987;755829;0.46;Anti-Horario;2779.51
798;345056;0.43;Anti-Horario;21895.69
147;838447;0.16;Horario;9631.94
258;691770;0.46;Anti-Horario;17214.9
369;468315;0.94;Horario;16442.74
741;919377;0.87;Anti-Horario;17465.31
852;617000;0.14;Horario;8497.49
963;673597;0.26;Horario;20121.24
753;600820;0.08;Horario;11267.39
951;935579;0.47;Horario;848.1
456;858534;0.29;Horario;12010.23
123;939925;0.93;Anti-Horario;33578.92
654;570443;0.39;Anti-Horario;15386.5
987;579717;0.68;Anti-Horario;5791.91
798;723861;0.82;Anti-Horario;26299.72
147;375024;0.32;Horario;21621.49
258;784541;0.77;Anti-Horario;18915.27
369;821020;0.34;Horario;26742.25
741;357977;0.57;Anti-Horario;10368.18
852;569622;0.12;Anti-Horario;5999.09
963;771867;0.93;Anti-Horario;12036.66
753;575090;0.86;Anti-Horario;2412.77
951;870231;0.52;Horario;10363.42
654;338327;0.07;Anti-Horario;525.15
987;513013;0.07;Anti-Horario;34382.39
798;662783;0.51;Anti-Horario;32455.14
147;972299;0.57;Horario;11670.31
258;341433;0.96;Anti-Horario;17448.74
369;384125;0.68;Anti-Horario;7317.08
741;882259;0.61;Anti-Horario;23529.18
852;651562;0.27;Anti-Horario;28790.42
963;407034;0.83;Horario;8611.22
753;849540;0.8;Anti-Horario;12345.94
