id_genera;id_generado;fecha
5891;50001;24/03/2005
8649;50002;08/12/1915
4612;50003;23/11/1915
9688;50004;08/08/1914
6078;50005;05/07/1968
1820;50006;27/04/1935
9511;50007;21/02/1995
8382;50008;26/11/1972
5788;50009;01/01/2017
9655;50010;06/10/1998
2336;50011;02/05/2012
3865;50012;24/07/1927
852;50013;04/08/1940
6101;50014;19/08/1982
5769;50015;03/10/1937
4832;50016;05/07/1965
6268;50017;04/02/1964
1157;50018;05/05/1930
1574;50019;25/02/1942
5628;50020;20/08/2001
5967;50021;03/02/1936
7880;50022;20/11/1995
5659;50023;20/03/1964
7281;50024;05/09/1995
5807;50025;12/01/1995
3469;50026;26/01/1942
6531;50027;14/11/1905
1295;50028;15/07/1993
259;50029;14/02/1972
4174;50030;12/01/1956
3835;50031;05/05/1950
9078;50032;25/09/2006
2523;50033;30/05/1986
2629;50034;06/12/1964
2606;50035;01/05/1983
18;50036;09/08/1937
1752;50037;21/10/1915
1246;50038;29/06/1959
3993;50039;14/06/1937
5914;50040;13/07/1916
4309;50041;22/01/1942
8649;50042;30/07/1958
8140;50043;09/10/1948
9393;50044;05/10/1904
7406;50045;18/09/1904
3772;50046;10/11/2012
3279;50047;01/03/1908
3915;50048;05/07/1940
1481;50049;27/09/1970
6688;50050;18/11/1982
5886;50051;11/08/1945
2060;50052;20/08/1907
4665;50053;21/03/1984
5643;50054;04/10/1996
9870;50055;24/09/2009
5110;50056;29/11/1969
6313;50057;27/03/1980
734;50058;10/06/1908
5860;50059;29/08/1925
1784;50060;31/10/1910
1557;50061;01/05/1999
2936;50062;22/05/1997
6204;50063;05/02/1955
4845;50064;21/11/1930
3868;50065;03/11/1995
5936;50066;01/09/1902
7778;50067;04/01/1922
7224;50068;26/06/1901
3037;50069;07/06/1908
9323;50070;20/06/2014
1792;50071;29/06/1940
7052;50072;09/10/1940
3056;50073;08/03/1995
5739;50074;17/04/1993
3617;50075;04/05/1985
6716;50076;13/07/1942
5941;50077;03/01/2008
1999;50078;28/08/2005
5567;50079;30/04/1947
7073;50080;18/06/2013
475;50081;09/06/1988
9838;50082;27/05/1916
7728;50083;29/09/1967
8197;50084;05/10/2012
1015;50085;08/02/1951
3855;50086;04/12/1990
5483;50087;05/05/1903
9133;50088;26/10/1935
9382;50089;02/12/1964
796;50090;03/01/2007
9392;50091;24/01/2010
2467;50092;10/11/1915
8184;50093;10/04/1955
6420;50094;01/01/1969
4448;50095;03/06/1941
9554;50096;18/07/1913
9420;50097;26/04/2014
8386;50098;08/05/2005
2557;50099;30/09/1943
1927;50100;11/10/1904
9121;50101;17/12/1989
8345;50102;05/09/1930
3494;50103;15/05/1929
8577;50104;26/08/1973
2739;50105;05/05/1950
167;50106;14/02/1912
6609;50107;11/07/1972
1123;50108;13/11/1966
7693;50109;06/09/1914
7605;50110;26/01/1962
4010;50111;26/10/1998
9744;50112;11/09/1941
8684;50113;14/03/1926
81;50114;25/07/1956
552;50115;04/12/1924
2269;50116;07/07/1987
42;50117;11/05/2018
8274;50118;28/12/1997
8671;50119;10/08/1952
8116;50120;09/07/1954
8598;50121;04/04/1993
8833;50122;22/01/1989
4974;50123;27/11/2006
8131;50124;05/06/1957
4728;50125;02/06/1931
1531;50126;17/02/1987
922;50127;02/09/1927
4003;50128;18/06/1946
2712;50129;02/06/1973
421;50130;17/11/1919
8695;50131;13/04/1961
5891;50132;09/09/2019
4117;50133;26/06/1929
5999;50134;26/08/1932
5212;50135;17/04/1962
9263;50136;02/03/1916
6083;50137;05/09/2001
5049;50138;14/02/1995
6590;50139;01/12/1906
768;50140;09/08/1917
6532;50141;24/05/1910
2445;50142;30/04/1961
3024;50143;07/10/2008
8456;50144;31/12/1973
8639;50145;09/12/1908
2786;50146;24/07/1964
6136;50147;05/02/1969
5812;50148;20/09/2002
8468;50149;20/05/1922
8303;50150;18/04/1989
2893;50151;05/12/1938
8403;50152;22/04/1911
2797;50153;14/10/1991
4359;50154;14/04/1980
3906;50155;08/03/1969
7188;50156;07/06/1912
9653;50157;23/08/1919
5621;50158;16/03/1912
8361;50159;04/10/1965
455;50160;09/04/1986
9707;50161;22/05/2013
1914;50162;03/07/1997
4622;50163;07/03/1954
901;50164;11/11/1924
2878;50165;17/12/1927
1495;50166;12/02/1981
5972;50167;18/07/1906
9929;50168;23/03/1945
9485;50169;02/12/1974
330;50170;02/02/1943
3319;50171;08/05/1991
8734;50172;09/01/1971
7962;50173;24/10/1925
1890;50174;29/04/1917
9585;50175;10/09/1919
6005;50176;03/02/1909
7859;50177;09/11/1948
2782;50178;25/04/1983
8431;50179;19/01/1999
3191;50180;06/12/1993
1632;50181;20/08/1992
7000;50182;10/05/1983
728;50183;24/01/1974
225;50184;13/02/1927
5827;50185;13/08/2003
4801;50186;22/02/1982
8303;50187;05/03/1931
9233;50188;03/08/2000
5960;50189;04/10/1988
5316;50190;02/03/1981
4984;50191;14/12/1934
4306;50192;03/11/1916
7577;50193;22/08/1901
1396;50194;22/12/1932
5473;50195;08/08/1961
9377;50196;01/01/1951
9259;50197;12/06/1922
473;50198;20/07/1975
4330;50199;01/05/1946
6295;50200;15/12/2016
9021;50201;31/05/1992
2535;50202;23/02/2007
564;50203;24/04/1926
7462;50204;20/06/1940
15;50205;13/09/1913
5335;50206;28/03/1990
9901;50207;09/02/1949
9497;50208;04/05/1919
5139;50209;29/07/1941
4427;50210;21/04/1981
8365;50211;02/12/1931
6617;50212;09/02/1991
8017;50213;08/09/1939
8456;50214;07/02/2001
8485;50215;18/12/2005
5874;50216;27/08/1930
9955;50217;12/12/1966
605;50218;06/05/1960
8022;50219;04/03/1963
1842;50220;12/07/1905
5779;50221;25/07/1925
4469;50222;04/01/2019
8310;50223;06/02/1980
7053;50224;11/10/1998
1543;50225;28/05/1903
5322;50226;13/11/2018
3395;50227;24/02/1910
9849;50228;09/04/2018
5681;50229;30/11/1921
4351;50230;13/12/1984
4298;50231;20/05/2005
5073;50232;14/02/1940
7029;50233;04/03/1972
7751;50234;28/11/1949
1222;50235;09/03/2012
2713;50236;27/12/1982
9975;50237;15/08/1926
9606;50238;25/05/2006
6537;50239;28/07/1963
485;50240;25/09/1988
1654;50241;19/12/1917
9870;50242;16/07/1951
9655;50243;01/07/2002
9716;50244;21/10/2003
9526;50245;21/03/1907
850;50246;28/01/1933
9491;50247;15/07/1950
3037;50248;11/06/1986
397;50249;26/06/1924
2972;50250;08/11/1962
6508;50251;08/02/2015
1865;50252;26/03/1910
9502;50253;21/04/1937
5416;50254;20/03/1921
2944;50255;23/10/1969
1570;50256;09/08/2018
1878;50257;08/01/1965
376;50258;10/08/1955
8331;50259;21/02/2012
8430;50260;17/05/1926
2061;50261;02/02/1926
9582;50262;16/12/1911
7978;50263;21/10/1922
9125;50264;26/04/1921
7852;50265;21/05/2012
6140;50266;24/06/2008
3408;50267;15/12/1976
9966;50268;21/06/1965
5164;50269;17/01/1979
6284;50270;04/01/1919
3628;50271;09/12/1982
7992;50272;14/06/1935
326;50273;23/10/1907
4262;50274;27/03/2001
7418;50275;24/08/1969
9166;50276;27/10/1917
5958;50277;08/03/1981
7434;50278;06/07/1907
4557;50279;12/06/1985
9644;50280;01/10/1915
423;50281;02/07/1903
5885;50282;04/11/1990
7683;50283;05/03/1976
1203;50284;08/11/1950
5538;50285;05/06/1979
5567;50286;13/08/2011
8685;50287;09/11/1943
3096;50288;20/08/1993
4212;50289;11/04/2010
1677;50290;20/12/1998
5917;50291;17/10/1929
7127;50292;12/05/1927
4909;50293;05/07/2008
5845;50294;20/11/1945
5922;50295;30/11/1926
9326;50296;15/08/1917
631;50297;13/01/1957
7631;50298;27/12/1965
1693;50299;08/08/1969
9051;50300;31/10/1966
6490;50301;13/02/1946
589;50302;28/05/1974
1576;50303;12/02/1980
1883;50304;08/12/1910
6585;50305;10/02/1993
2254;50306;21/07/1929
7986;50307;27/09/1918
89;50308;14/04/1994
1128;50309;21/10/1915
9409;50310;14/07/1907
8549;50311;09/01/2002
7499;50312;22/12/1901
2930;50313;21/10/1991
7789;50314;10/12/1990
9838;50315;09/07/1981
7936;50316;13/04/2014
2452;50317;22/02/1941
1835;50318;25/08/1911
5480;50319;29/11/1941
2493;50320;18/03/1917
3059;50321;21/07/1993
9616;50322;19/03/1904
8057;50323;02/10/1982
9984;50324;03/05/2002
3011;50325;28/09/1928
4631;50326;21/03/1936
7196;50327;19/10/1926
6728;50328;15/09/1959
8382;50329;02/05/1924
4356;50330;11/06/1969
4763;50331;22/05/1959
3232;50332;08/06/2001
4559;50333;17/10/1956
1390;50334;14/09/1991
9475;50335;17/04/1972
3857;50336;15/01/2018
7952;50337;07/05/1949
6673;50338;29/07/1926
8240;50339;19/07/1945
7671;50340;24/03/1922
4613;50341;22/07/1967
8482;50342;31/07/1961
8992;50343;27/07/1965
4032;50344;13/10/1911
2765;50345;24/05/1994
6220;50346;08/05/1932
7774;50347;04/02/1950
9194;50348;19/07/2002
2554;50349;11/09/1953
4305;50350;19/05/1927
1258;50351;26/08/1934
3175;50352;02/02/1967
4561;50353;26/07/1930
8399;50354;11/07/1965
9800;50355;19/01/2007
7195;50356;04/11/1994
4845;50357;12/11/1941
4587;50358;28/10/1974
5377;50359;14/10/1961
5589;50360;22/10/2017
7880;50361;03/03/1902
5615;50362;22/12/1951
4478;50363;02/09/2012
9998;50364;12/06/1925
5466;50365;11/06/1986
5694;50366;03/08/1913
7241;50367;09/08/1958
2860;50368;17/12/1986
9737;50369;16/04/1992
4623;50370;28/10/1998
1512;50371;26/08/1918
9427;50372;15/06/1939
3425;50373;10/05/1973
6096;50374;17/01/2004
8055;50375;30/01/1960
4168;50376;24/12/1996
6213;50377;04/04/1979
8160;50378;02/05/1996
2194;50379;23/01/2004
5607;50380;18/08/1970
1150;50381;13/10/2016
3940;50382;14/09/2018
8250;50383;23/10/1930
1300;50384;04/07/1913
5589;50385;26/04/1987
3965;50386;06/01/1968
9928;50387;05/04/1924
7425;50388;09/11/1961
4830;50389;16/02/1921
3802;50390;24/10/1932
7990;50391;26/09/2011
7596;50392;03/01/1999
413;50393;06/03/1924
5962;50394;24/08/1921
3466;50395;03/03/1978
2351;50396;10/01/1990
7487;50397;03/02/1964
3977;50398;21/01/1999
4716;50399;20/02/1994
3421;50400;30/07/1985
7831;50401;28/08/2010
6129;50402;30/10/1950
1569;50403;03/02/1928
7248;50404;08/11/1971
6116;50405;29/03/1931
3802;50406;28/12/1985
2683;50407;30/07/1922
1598;50408;30/05/1977
7683;50409;12/07/1981
8582;50410;30/11/1903
5206;50411;05/02/2019
1188;50412;03/08/1900
9561;50413;13/05/1942
644;50414;01/02/2011
538;50415;11/11/1992
9214;50416;06/10/1960
7792;50417;16/01/1964
6967;50418;25/02/1908
1288;50419;17/12/1995
8305;50420;15/03/1923
6233;50421;16/07/1954
1147;50422;11/12/1989
8441;50423;21/10/1956
8765;50424;23/09/1948
4711;50425;01/10/1995
7657;50426;06/11/1937
9211;50427;03/11/1992
79;50428;01/07/1971
4205;50429;26/01/1975
2037;50430;04/04/1971
7512;50431;29/10/1945
2940;50432;23/07/1927
4745;50433;24/09/1906
4395;50434;26/10/1942
8202;50435;20/01/1909
4747;50436;18/08/1941
4363;50437;24/11/1915
2211;50438;23/09/1955
110;50439;26/07/1926
4516;50440;29/08/1933
7693;50441;13/04/2006
6751;50442;17/01/1946
2612;50443;12/02/1975
3629;50444;25/06/1941
1129;50445;22/08/1957
9808;50446;08/09/1954
5647;50447;29/07/1931
3727;50448;14/05/1918
3181;50449;02/08/1949
256;50450;19/02/1950
2591;50451;18/09/1922
1440;50452;22/03/1962
8256;50453;15/05/2013
655;50454;27/10/1904
4941;50455;29/01/1929
7195;50456;18/02/1974
8545;50457;14/03/1943
4899;50458;01/11/2016
3241;50459;17/01/1986
6891;50460;27/08/1975
1105;50461;28/03/1946
7749;50462;12/10/2008
849;50463;15/03/1932
6077;50464;27/04/1946
4949;50465;27/12/1959
5111;50466;04/10/1985
9383;50467;24/06/1991
1683;50468;22/01/2007
9776;50469;16/12/1984
4149;50470;25/01/1992
7921;50471;21/11/1974
560;50472;11/05/1912
8213;50473;16/10/1914
2033;50474;20/05/1905
3762;50475;30/03/1977
7574;50476;17/06/1904
1708;50477;21/10/1929
393;50478;15/03/2018
7817;50479;15/11/2016
8468;50480;10/12/1956
284;50481;02/04/1933
8044;50482;26/09/1956
2572;50483;15/03/1946
1362;50484;02/05/1965
4116;50485;08/09/1911
8453;50486;21/09/1944
6439;50487;23/03/1909
5015;50488;13/06/1904
8695;50489;20/09/1913
7112;50490;26/08/1928
7332;50491;26/08/1902
3424;50492;02/06/1956
135;50493;11/02/1942
9937;50494;31/10/1935
7025;50495;29/09/1901
1298;50496;13/04/1912
4270;50497;09/03/2018
4579;50498;22/11/1923
1597;50499;12/03/2014
5170;50500;07/04/1998
8103;50501;30/05/1909
3217;50502;17/02/1952
4913;50503;31/07/1944
9849;50504;09/06/1910
1920;50505;17/08/1961
7644;50506;14/03/2000
3680;50507;27/04/2018
9143;50508;01/03/1968
8553;50509;10/06/2010
7437;50510;08/12/1991
9431;50511;09/11/1949
5278;50512;11/01/1940
8672;50513;21/11/1930
7149;50514;02/07/1959
4618;50515;17/10/1992
5902;50516;25/01/1982
4764;50517;22/03/1910
9060;50518;28/03/1983
6501;50519;03/10/1945
8385;50520;04/11/1962
943;50521;28/03/1928
134;50522;22/10/1995
2716;50523;24/09/1942
8472;50524;17/12/1922
5097;50525;26/06/2016
8411;50526;03/09/1947
3674;50527;25/03/2011
428;50528;20/08/2006
173;50529;05/10/1983
3940;50530;21/04/1923
329;50531;08/04/1937
6257;50532;17/10/1938
8732;50533;03/10/2012
1347;50534;30/07/1995
6240;50535;02/10/2009
5614;50536;25/02/1917
4534;50537;26/04/1922
6985;50538;12/06/1995
4640;50539;12/03/1995
9216;50540;29/11/1916
5581;50541;18/05/1973
7905;50542;23/07/1930
4105;50543;25/04/1978
684;50544;14/04/2005
4716;50545;15/05/1924
9324;50546;15/04/1932
9132;50547;21/11/1963
6923;50548;17/06/1931
6479;50549;30/05/1982
2567;50550;11/03/1908
7828;50551;20/10/1985
487;50552;10/03/1992
4837;50553;01/02/1962
9305;50554;04/02/1948
