nombre;publica_agencia_nombre;
Georgia;Konklab;
Guinea;Pannier;
Ethiopia;Voltsillam;
Vanuatu;Flowdesk;
Ethiopia;Tresom;
Western Sahara;Job;
India;Rank;
Taiwan;Y-find;
Tuvalu;Asoka;
Virgin Islands;Otcom;
Cambodia;Zathin;
Korea;Stringtough;
Oman;Asoka;
Maldives;Gembucket;
United Kingdom;Tampflex;
Uruguay;Voltsillam;
Sri Lanka;Lotlux;
Kenya;Voltsillam;
Gabon;Fix San;
Norway;Lotstring;
Kiribati;Konklab;
Namibia;Pannier;
Senegal;Voltsillam;
Saint Lucia;Flowdesk;
Marshall Islands;Tresom;
Svalbard and Jan Mayen;Job;
Guernsey;Rank;
Canada;Y-find;
Germany;Asoka;
Faroe Islands;Otcom;
Poland;Zathin;
Saint Helena;Stringtough;
Kenya;Asoka;
Australia;Gembucket;
Barbados;Tampflex;
Israel;Voltsillam;
Syrian Arab Republic;Lotlux;
Indonesia;Voltsillam;
Philippines;Fix San;
Finland;Lotstring;
Sao Tome and Principe;Zathin;
Malawi;Stringtough;
Angola;Asoka;
Samoa;Gembucket;
Bosnia and Herzegovina;Tampflex;
Serbia and Montenegro;Voltsillam;
Malaysia;Lotlux;
Puerto Rico;Voltsillam;
Belarus;Fix San;
Canada;Otcom;
