r,delta,theta,fecha_pos,id_pos
578.22,677.8,888.27,1997-12-10,89
683.39,389.14,647.6,1976-03-30,716
404.75,394.3,366.68,1908-12-16,626
969.18,665.12,871.73,1951-03-12,383
474.18,403.55,731.32,1903-12-11,241
164.64,896.33,412.59,1949-01-28,634
488.99,617.83,652.41,1950-05-29,620
818.54,390.43,373.82,1922-08-18,49
176.81,722.51,264.85,1984-12-05,315
323.81,129.18,225.23,1975-04-13,658
975.4,608.24,988.62,1972-04-22,739
313.79,291.53,300.04,1913-08-18,564
820.83,998.85,923.97,1975-07-24,564
563.94,412.45,137.54,1912-07-19,757
186.98,470.18,705.73,1940-07-19,172
687.17,24.5,779.01,1969-04-09,580
208.47,841.21,550.2,1923-07-21,686
316.08,517.82,505.5,2015-02-18,996
509.59,971.1,605.79,1965-06-26,922
442.92,5.58,867.33,1936-04-09,813
487.63,769.89,412.26,1935-12-26,428
810.26,392.2,6.18,1951-12-02,516
227.36,593.95,365.27,2018-12-27,235
627.87,855.67,20.36,1981-07-01,333
731.54,619.51,782.04,1901-07-07,965
246.01,868.49,693.4,1950-10-03,265
120.77,988.22,897.04,1931-12-09,489
79.43,468.36,721.98,1917-03-30,226
393.47,614.23,792.2,1981-05-28,390
209.7,273.1,917.51,1901-06-09,207
53.23,839.52,407.15,1985-08-19,858
777.75,86.23,478.39,1990-02-22,468
36.86,902.63,243.09,2018-11-07,473
741.88,367.89,734.84,1978-05-31,771
565.38,975.19,411.47,1949-06-29,278
812.07,789.98,984.74,1904-07-30,82
779.75,920.01,70.25,2005-08-12,180
64.7,531.69,695.79,1971-01-16,949
431.75,649.81,795.18,1946-04-18,683
990.86,939.25,206.16,1900-06-26,258
137,858.4,29.47,1928-06-09,293
98.43,733.49,431.32,1919-08-01,186
358.32,850.78,640.45,1942-11-21,275
158.43,844.83,650.88,1968-04-15,249
995.79,872.17,689.4,1917-04-05,749
782.49,36.42,747.97,1922-05-18,858
381.81,651.32,531.05,1912-07-16,219
319.99,958.12,597.46,1932-07-16,484
464.83,928.29,256.45,1958-05-29,640
339.78,197.27,160.25,1946-02-13,407
490.22,827.92,863.27,2008-02-13,110
844.31,130.81,44.79,1989-04-13,457
21.29,324.53,176.94,1942-05-25,202
553.29,736.14,988.69,1985-11-01,507
586.19,7.24,319.43,2019-12-26,978
433.12,905.67,145.29,1976-01-27,204
671.49,277.84,474.16,1991-06-24,418
940.57,439.28,11.24,2019-01-15,554
82.05,301.77,256.72,1967-09-22,676
165.87,29.75,458.48,2015-09-06,3
258.91,696.06,585.21,1981-02-22,263
377.11,952.54,752.13,1960-09-30,323
703.96,10.82,232.01,1913-02-08,163
462.27,823.87,440.01,1938-12-19,322
937.17,229.66,634.39,2001-03-04,134
619.69,942.74,977.73,1980-09-30,787
513.8,270.83,335.12,1969-05-11,595
43.29,508.36,247.99,1975-10-21,519
672.5,780.64,617.29,1912-11-21,517
887.59,693.22,769.63,1911-12-18,706
311.8,925.43,343.63,1930-08-04,216
61.55,871.27,111.09,1900-04-01,222
19.66,457.97,895.62,1922-05-22,18
821.33,504.37,42.33,2005-02-26,723
164.93,577.94,140.03,1937-02-23,456
637.64,283.77,882.91,2011-07-19,712
732.97,825.64,414.09,1978-06-22,77
820.78,635.59,315.37,1902-03-23,149
914.92,431.76,261.82,1963-07-07,248
943.11,5.59,834.36,1968-08-10,986
606.79,600.56,637.12,2012-09-01,523
403.17,209.9,549.05,1937-07-27,818
910.86,63.61,806.3,1940-08-14,148
255.15,215.44,324.57,1958-03-27,407
321.9,649.15,80.32,1926-09-16,172
945.97,837.53,770.8,1962-01-01,309
549.65,712.32,555.39,1972-06-13,267
269.88,430.26,575.03,1985-06-10,905
760.32,124.68,848.07,1914-10-09,466
194.49,72.8,776.03,1914-05-22,219
221.35,944.68,366.08,2007-03-17,488
528.23,641.67,78.49,1927-02-14,833
653.8,567.79,713.62,2017-01-25,618
846.88,418.45,377.47,1991-06-11,599
105.55,926.26,369.87,1921-05-12,520
72.41,232.36,922.78,1976-09-28,847
497.19,710.17,665.44,1961-08-04,172
748.46,589.97,250.17,1967-08-21,316
121.48,550.33,28.52,2015-04-03,13
924.89,72.47,928.46,1992-09-05,295
364.77,30.19,29.54,1998-11-21,94
188.63,772.11,505.9,1961-10-06,262
929.57,419.2,801.13,1982-03-10,966
898.4,849.66,617.9,1987-03-28,541
517.99,978.11,138.06,1917-01-07,868
312.92,950.43,692.84,1995-10-26,787
144.14,917.28,462.91,1910-02-11,330
829.02,219.79,704.71,1978-05-31,930
848.23,399.68,452.59,1966-08-05,648
800.65,640.98,807.24,1910-03-02,286
747.45,949.93,893.66,2008-12-25,281
802.49,447.74,524.39,1988-12-05,737
951.6,247.45,467.75,1944-02-09,847
938.16,614.7,265.41,1964-11-13,429
917.52,222.81,798.56,2011-06-06,927
144.35,766.44,80.47,2013-10-10,248
685,114.08,923.5,1972-01-01,943
867.21,884.17,608.56,1999-06-16,747
527.44,934.34,899.83,1928-12-09,899
774,732.66,997.41,1970-12-15,577
93.27,741.57,685.96,1998-11-17,593
743.62,616.47,397.59,1923-02-06,602
202.81,392.64,584.61,1968-09-15,186
105.06,674.05,829.88,1920-11-29,514
699.1,463.22,209.73,1951-08-26,634
815.07,56.17,164.53,2005-07-29,970
412.8,47.51,556.63,1948-04-24,929
944.88,463.9,413.78,1992-11-27,424
463.99,488.63,692.8,1949-06-20,500
314.7,690.12,958.56,1915-09-30,412
9.74,708.23,313.5,1985-03-10,861
783.77,885.37,946.06,1904-06-06,267
174.34,966.83,711.16,1921-01-07,721
725.17,423.48,224.59,2007-11-04,771
805.94,749.64,953.07,1978-06-29,519
427.39,209.32,921.08,1968-05-13,800
368.39,57.89,493.44,1901-12-23,683
855.57,567.37,402.98,2010-06-10,47
601.89,409.42,316.77,2005-09-21,348
131.07,851.88,776.42,2012-04-21,312
421.46,820.38,88.45,1916-01-10,999
956.2,639.98,378.56,1930-02-13,884
323.53,884.77,656.16,1977-08-02,448
276.16,775.5,199.22,1944-07-28,700
691.43,573.01,790.18,2014-04-20,355
346.24,99.41,972.52,1923-10-05,746
655.86,502.89,703.56,2012-01-20,417
197.56,289.82,138.66,1994-09-30,429
685.62,757.34,842.53,1935-10-27,622
270.75,932.9,888.94,1994-11-08,222
283.11,2.48,471.19,1944-12-11,312
902.15,693.99,455.64,2006-05-09,535
170.83,552.99,274.2,1936-08-21,590
711.11,102.97,930.3,1928-02-01,725
677.86,317.41,945.7,1940-05-11,120
947.03,439.75,103.55,2013-01-27,541
917.76,643.19,684.2,1942-11-09,428
368.97,555.07,430.63,1954-08-07,75
540.76,182.14,808.58,1990-03-22,121
312.55,711.32,146.51,1953-07-14,876
424.25,668.21,497.51,2006-10-09,49
914.52,685.55,391.73,1969-01-28,298
895.64,330.61,134.27,2006-12-27,78
497.93,501.37,548.74,1958-09-14,612
640.57,724.17,707.66,1991-11-23,740
690.1,819.72,982.26,1931-02-25,969
520.56,528.51,491.67,2008-12-06,55
520.37,900.78,15.07,2015-06-19,466
213.26,725.97,828.12,1994-05-08,696
374.79,735.7,573.13,1943-11-18,8
803.62,462.3,230.94,1975-01-07,798
615.03,535.83,84.12,1947-08-20,247
725.01,109.09,496.44,1996-05-11,174
327.13,438.11,22.28,1980-09-09,24
975.64,218.82,167.51,1967-06-01,44
276.64,741.9,608.77,1938-04-10,65
833.91,284.53,323.3,2008-02-09,522
589.49,689.25,476.33,1981-10-13,341
264.82,14.84,554.41,1912-12-05,500
23.29,356.71,272.12,1993-07-20,831
210.87,669.36,144.54,2004-09-08,902
233.45,469.9,453.93,1915-11-07,58
184.22,288.38,252.94,1969-08-07,525
149.45,862.13,790.47,2000-05-07,372
646.52,490.81,449.26,1934-11-07,828
151.57,815.79,439.66,2015-04-04,772
991.03,6.56,127.29,1938-01-31,942
392.44,279.36,355.18,1934-11-03,705
16.6,366.9,929.76,1937-05-08,851
426.4,534.82,860.02,1937-05-13,769
194.68,969.97,940.06,1972-03-04,558
148.43,665.92,985.74,1933-11-13,472
659.07,781.36,467.16,1996-10-25,994
922.88,120.04,338.81,2011-03-06,225
640.32,426.09,71.39,1962-08-31,825
777.34,559.84,404.12,1932-12-19,102
369.87,922.18,680.36,1973-03-06,775
385.5,806.95,964.71,2006-10-07,623
223.38,462.76,387.44,1991-06-02,79
365.19,421.94,380.72,1931-12-04,500
129.97,760.25,971.77,1901-12-16,226
653.49,487.25,870.46,1979-08-07,649
518.28,503.13,837.47,1957-08-27,387
190.44,357.4,668.81,1944-12-25,195
38.85,95.07,962.76,1980-02-26,50
711.42,961.42,513.16,2002-01-31,861
393.52,61.81,909.89,1950-05-31,449
859.2,654.3,162.78,1925-06-30,252
132.05,65.05,783.06,2003-06-15,846
119.35,114.37,806.81,1971-04-09,274
610.39,503.82,200.4,1968-05-29,620
351.08,713.95,383.12,1991-07-30,794
683.72,511.31,433.21,2017-03-06,88
313.73,910.01,414.22,1961-11-02,755
861.16,587.44,587.03,1932-10-15,502
400.32,661.24,668.19,1952-11-26,622
619.9,885.04,783.59,2009-01-19,683
78.59,8.19,558.95,1987-08-12,411
125.47,217.28,738.92,1923-05-17,86
914.57,191.09,412.2,1956-07-01,744
832.28,348.82,51.2,2004-11-24,824
459.04,809.03,433.24,1908-08-18,954
644.55,147.08,372.26,1950-12-05,393
932.26,477.51,164.9,2009-08-31,954
578.37,906.63,524.08,1915-02-07,116
423.84,413.07,193.24,2011-10-07,757
601.59,80.87,431.75,1916-02-06,81
204.95,161.75,365.08,1957-02-13,706
